;code;nom;Description;unité;Emballage;Dévise;P. Revient en devise;price;Prix de Vente;Genre;Marque;Fournisseur
;20120824999992   ;GARDENIA EDP 90ML              ;;PCE;;$US;0,00;30;88 500,00;FEMME            ;;
;20130176999991   ;GARDENIA EDP COF 90 ML         ;;PCE;;$US;0,00;0;0,00;FEMME            ;;
;20120827999999   ;GARDENIA EDT 180ML             ;;PCE;;$US;0,00;40;118 000,00;FEMME            ;;
;8435415076838    ;GAULTIER DIVINE EDP 100 ML     ;;PCE;;$US;0,00;197;581 150,00;FEMME            ;;
;8435415082686    ;GAULTIER DIVINE EDP REFIL 200M ;;PCE;;$US;0,00;220;649 000,00;FEMME            ;;
;8435415082921    ;GAULTIER DIVINE GEL DO 200 ML  ;;PCE;;$US;0,00;90;265 500,00;FEMME            ;;
;3605540911518    ;GELEE MICELLAIRE NET 150 ML    ;;PCE;;$US;0,00;60;177 000,00;FEMME            ;;
;3274872415942    ;GENTELMAN COF 2 EDP 100ML      ;;PCE;;$US;0,00;150;442 500,00;HOMME            ;;
;3274872401792    ;GENTELMAN COF EDT 100ML        ;;PCE;;$US;0,00;150;442 500,00;HOMME            ;;
;3700559609798;GENTLE FLUIDITY GOLD EDP 200ML ;;PCE;;$US;0,00;450;1 327 500,00;MIXTE            ;;
;3700559607664;GENTLE FLUIDITY GOLD EDP 70ML  ;;PCE;;$US;0,00;250;737 500,00;MIXTE            ;;
;3700559607671;GENTLE FLUIDITY SILVER EDP 70  ;;PCE;;$US;0,00;250;737 500,00;MIXTE            ;;
;3274872368026    ;GENTLEMAN 100ML                ;;PCE;;$US;0,00;161;474 950,00;HOMME            ;;
;3274872441033    ;GENTLEMAN 2 EDP 100 ML         ;;PCE;;$US;0,00;187;551 650,00;HOMME            ;;
;3274872368019    ;GENTLEMAN 50ML                 ;;PCE;;$US;0,00;130;383 500,00;HOMME            ;;
;3274872382381    ;GENTLEMAN COL 100ML            ;;PCE;;$US;0,00;148;436 600,00;HOMME            ;;
;3274872382374    ;GENTLEMAN COL 50ML             ;;PCE;;$US;0,00;116;342 200,00;HOMME            ;;
;3274872441057    ;GENTLEMAN EDPBOISEE            ;;PCE;;$US;0,00;176;519 200,00;HOMME            ;;
;3274872347281    ;GENTLEMAN EDT 50ML             ;;PCE;;$US;0,00;119;351 050,00;HOMME            ;;
;3274872347298    ;GENTLEMAN EDT100ML             ;;PCE;;$US;0,00;148;436 600,00;HOMME            ;;
;3274872463295    ;GENTLEMAN R.P EDP 100 ML       ;;PCE;;$US;0,00;170;501 500,00;HOMME            ;;
;3274872439078    ;GENTLEMAN RESERVE P EDP 100ML  ;;PCE;;$US;0,00;186;548 700,00;HOMME            ;;
;3274872448780    ;GENTLEMAN SOCIETY EDP 100ML    ;;PCE;;$US;0,00;193;569 350,00;HOMME            ;;
;3274872334229    ;GENTLEMEN ONLY 100ML           ;;PCE;;$US;0,00;156;460 200,00;HOMME            ;;
;3274872334168    ;GENTLEMEN ONLY 50ML            ;;PCE;;$US;0,00;127;374 650,00;HOMME            ;;
;8719179099228    ;GINKGO ET MANDARIN 200ML       ;;PCE;;$US;0,00;35;103 250,00;FEMME            ;;
;7340032806168;GIPSY WATER EDP 100ML          ;;PCE;;$US;0,00;410;1 209 500,00;MIXTE            ;;
;7640233340196    ;GIRL OF NOW 2 EDP 90 ML        ;;PCE;;$US;0,00;205;604 750,00;FEMME            ;;
;3423473996750    ;GIRL OF NOW 50ML               ;;PCE;;$US;0,00;138;407 100,00;FEMME            ;;
;3423473996859    ;GIRL OF NOW 90ML               ;;PCE;;$US;0,00;166;489 700,00;FEMME            ;;
;3423478481459    ;GIRL OF NOW FOREVER 50ML       ;;PCE;;$US;0,00;138;407 100,00;FEMME            ;;
;3423478481350    ;GIRL OF NOW FOREVER 90ML       ;;PCE;;$US;0,00;205;604 750,00;FEMME            ;;
;3423473095651    ;GIRL OF NOW SHINE 50ML         ;;PCE;;$US;0,00;138;407 100,00;FEMME            ;;
;3423473095750    ;GIRL OF NOW SHINE 90ML         ;;PCE;;$US;0,00;166;489 700,00;FEMME            ;;
;3423478305359    ;GIRLS CAN DO ANYTHING EDP 50ML ;;PCE;;$US;0,00;145;427 750,00;FEMME            ;;
;3423478305458    ;GIRLS CAN DO ANYTHING EDP 90ML ;;PCE;;$US;0,00;191;563 450,00;FEMME            ;;
;783320411946     ;GLACIAL ESSENCE EDP 100ML      ;;PCE;;$US;0,00;196;578 200,00;HOMME            ;;
;783320411953     ;GLACIAL ESSENCE EDP 60 ML      ;;PCE;;$US;0,00;160;472 000,00;HOMME            ;;
;3700559603185    ;GLOBE TROTTER PDV 11ML         ;;PCE;;$US;0,00;156;460 200,00;MIXTE            ;;
;701666340065;GOLD F EDP 100ML               ;;PCE;;$US;0,00;440;1 298 000,00;FEMME            ;;
;701666340966;GOLD H EDP 100ML               ;;PCE;;$US;0,00;440;1 298 000,00;HOMME            ;;
;3432240500335    ;GOLD MUST DE CARTIER 100ML     ;;PCE;;$US;0,00;187;551 650,00;FEMME            ;;
;3432240500403    ;GOLD MUST DE CARTIER 50ML      ;;PCE;;$US;0,00;150;442 500,00;FEMME            ;;
;783320408878     ;GOLDEA ABSOLUTE 50ML           ;;PCE;;$US;0,00;140;413 000,00;FEMME            ;;
;783320408861     ;GOLDEA ABSOLUTE 75ML           ;;PCE;;$US;0,00;160;472 000,00;FEMME            ;;
;783320502118     ;GOLDEA ROSE 50ML               ;;PCE;;$US;0,00;170;501 500,00;FEMME            ;;
;783320502101     ;GOLDEA THE ESS.JEWELLER 50ML   ;;PCE;;$US;0,00;151;445 450,00;FEMME            ;;
;783320502507     ;GOLDEA THE ESS.JEWELLER 90ML   ;;PCE;;$US;0,00;181;533 950,00;FEMME            ;;
;783320479151     ;GOLDEA THE ROMAN NIGHT 100ML   ;;PCE;;$US;0,00;159;469 050,00;FEMME            ;;
;783320479168     ;GOLDEA THE ROMAN NIGHT 50ML    ;;PCE;;$US;0,00;139;410 050,00;FEMME            ;;
;AMAX14           ;GOLDEN DECADE EDP 30 ML        ;;PCE;;$US;0,00;25;73 750,00;FEMME            ;;
;AMAX003          ;GOLDEN DECADE EDP 80 ML        ;;PCE;;$US;0,00;50;147 500,00;FEMME            ;;
;AMAX13           ;GOLDEN DECADE EDP 80 ML        ;;PCE;;$US;0,00;50;147 500,00;FEMME            ;;
;AMAX12           ;GOLDEN DECADE WINTER EDP 80ML  ;;PCE;;$US;0,00;50;147 500,00;FEMME            ;;
;3614273662581    ;GOOD FORTUNE EDP 90ML          ;;PCE;;$US;0,00;206;607 700,00;FEMME            ;;
;8411061819838    ;GOOD GIRL 50ML                 ;;PCE;;$US;135,00;148;436 600,00;FEMME            ;;
;8411061056752    ;GOOD GIRL BLUSH EDP 80 ML      ;;PCE;;$US;0,00;223;657 850,00;FEMME            ;;
;8411061056844    ;GOOD GIRL BLUSH LOT 100 ML     ;;PCE;;$US;0,00;107;315 650,00;FEMME            ;;
;8411061027905    ;GOOD GIRL COF EDP 50ML         ;;PCE;;$US;0,00;165;486 750,00;FEMME            ;;
;8411061979983    ;GOOD GIRL COFFRET EDP 50ML     ;;PCE;;$US;0,00;150;442 500,00;FEMME            ;;
;8411061024164    ;GOOD GIRL EDP 100 ML           ;;PCE;;$US;0,00;225;663 750,00;FEMME            ;;
;8411061026250    ;GOOD GIRL EDP 50 ML            ;;PCE;;$US;0,00;183;539 850,00;FEMME            ;;
;8411061818961    ;GOOD GIRL EDP 80ML             ;;PCE;;$US;0,00;207;610 650,00;FEMME            ;;
;8411061841655    ;GOOD GIRL GELDO 200            ;;PCE;;$US;0,00;93;274 350,00;FEMME            ;;
;3700550219217;GOOD GIRL GONE BAD EAU FRAICHE EDP 50ML;;PCE;;$US;0,00;275;811 250,00;MIXTE            ;KILIAN;
;8411061823729    ;GOOD GIRL LOTION 100ML         ;;PCE;;$US;0,00;0;0,00;FEMME            ;;
;8411061026342    ;GOOD GIRL NEW EDP 80ML         ;;PCE;;$US;0,00;217;640 150,00;FEMME            ;;
;022548419953     ;GORGEOUS! EDP 100ML            ;;PCE;;$US;0,00;175;516 250,00;FEMME            ;;
;20120813999996   ;GOURMAND ADDICT EDT 180ML      ;;PCE;;$US;0,00;40;118 000,00;FEMME            ;;
;711367108840;GOUTAL AMBRE SAUVAGE ABSOLU EDP 100ML;;PCE;;$US;0,00;260;767 000,00;MIXTE            ;GOUTAL;
;711367108130;GOUTAL ÉTOILE D'UNE NUIT EDP 100ML;;PCE;;$US;0,00;280;826 000,00;MIXTE            ;GOUTAL;
;711367106884;GOUTAL MUSC NOMADE EDP 100ML ;;PCE;;$US;0,00;240;708 000,00;MIXTE            ;GOUTAL;
;711367105825;GOUTAL NUIT ET CONFIDENCES EDP 100ML;;PCE;;$US;0,00;280;826 000,00;MIXTE            ;GOUTAL;
;711367108703;GOUTAL PETITE CHERIE MOUSSE DE PARFUM 125ML;;PCE;;$US;0,00;105;309 750,00;MIXTE            ;GOUTAL;
;711367106969;GOUTAL TENUE DE SOIREE 100ML;;PCE;;$US;0,00;290;855 500,00;MIXTE            ;GOUTAL;
;3348901083676    ;GRAND BAL 125ML                ;;PCE;;$US;0,00;400;1 180 000,00;MIXTE            ;;
;3700559614235;GRAND SOIR EDP 200ML;;PCE;;$US;0,00;477;1 407 150,00;MIXTE            ;MAISON FRANCIS;
;3700559604212;GRAND SOIR EDP 70ML            ;;PCE;;$US;0,00;250;737 500,00;MIXTE            ;;
;3614273711784    ;GRAPES AND ROSES EDT 100 ML    ;;PCE;;$US;0,00;229;675 550,00;MIXTE            ;;
;3508441001022;GREEN IRISH EDP 100ML          ;;PCE;;$US;0,00;330;973 500,00;HOMME            ;;
;3508440505026    ;GREEN IRISH EDP 50ML           ;;PCE;;$US;0,00;275;811 250,00;HOMME            ;;
;3508443107326;GREEN IRISH SHOWER GEL 200ML;;PCE;;$US;0,00;155;457 250,00;HOMME            ;CREED;
;AMAX15           ;GREEN SAVAGE EDT 100 ML        ;;PCE;;$US;0,00;30;88 500,00;HOMME            ;;
;AMAX19           ;GREEN SAVAGE EDT COFF 100 ML   ;;PCE;;$US;0,00;35;103 250,00;HOMME            ;;
;3348901123020;GRIS DIOR 125ML                ;;PCE;;$US;0,00;380;1 121 000,00;MIXTE            ;;
;737052925073     ;GUCCI BAMBOO EDP               ;;PCE;;$US;0,00;155;457 250,00;FEMME            ;;
;737052717630     ;GUCCI MADE TO MEASURE 90ML     ;;PCE;;$US;0,00;150;442 500,00;HOMME            ;;
;3346476429264;GUERLAIN FORET SUMATRA 100ML;;PCE;;$US;0,00;160;472 000,00;MIXTE            ;GUERLAIN;
;3346470304925    ;GUERLAIN HOMME EDP 100ML       ;;PCE;;$US;0,00;188;554 600,00;HOMME            ;;
;3346470176935;GUERLAIN MADEMOISELLE GUERLAIN 125ML;;PCE;;$US;0,00;330;973 500,00;MIXTE            ;GUERLAIN;
;3346470176911;GUERLAIN MON PRECIEUX NECTAR 125ML;;PCE;;$US;0,00;330;973 500,00;MIXTE            ;GUERLAIN;
;3346470176928;GUERLAIN NUIT D'AMOUR 125ML;;PCE;;$US;0,00;330;973 500,00;MIXTE            ;GUERLAIN;
;701666410454;GUIDANCE;;PCE;;$US;0,00;470;1 386 500,00;MIXTE            ;AMOUAGE;
;8005610524146    ;GUILTY ABSOLUTE 50ML           ;;PCE;;$US;0,00;157;463 150,00;FEMME            ;;
;8005610524177    ;GUILTY ABSOLUTE 90             ;;PCE;;$US;0,00;182;536 900,00;FEMME            ;;
;3614227758162    ;GUILTY EDP                     ;;PCE;;$US;0,00;174;513 300,00;FEMME            ;;
;3346130413752    ;H24 EDP 100 ML                 ;;PCE;;$US;0,00;197;581 150,00;HOMME            ;;
;3346470303287    ;HABIT ROUGE 100ML              ;;PCE;;$US;0,00;155;457 250,00;HOMME            ;;
;3346470235557;HABIT ROUGE EDP                ;;PCE;;$US;0,00;176;519 200,00;HOMME            ;;
;3346470304970    ;HABIT ROUGE LINSTINCT EDTI 100 ;;PCE;;$US;0,00;0;0,00;HOMME            ;;
1;5056245010989;HALFETI CEDAR EDP 100ML;;PCE;;$US;0,00;315;929 250,00;MIXTE            ;PENHALIGONS;
;5056245021954;HALFETI COF 2                  ;;PCE;;$US;0,00;360;1 062 000,00;FEMME            ;;
5;793675974751     ;HALFETI EDP 100ML              ;;PCE;;$US;0,00;300;885 000,00;MIXTE            ;;
;5056245021510;HALFETI EDP 100ML              ;;PCE;;$US;0,00;300;885 000,00;FEMME            ;;
;5056245000294;HALFETI LEATHER                ;;PCE;;$US;0,00;300;885 000,00;FEMME            ;;
;8719134112733    ;HAMMAM BODY MIST 50ML          ;;PCE;;$US;0,00;40;118 000,00;FEMME            ;;
;8719134064131    ;HAPPY BUDDHA BODU MIST 50ML    ;;PCE;;$US;0,00;40;118 000,00;FEMME            ;;
;3605521932105    ;HEADY COCKTAILS ND C. EDT 100M ;;PCE;;$US;0,00;229;675 550,00;MIXTE            ;;
